title,run_id,issue_number,run_status,collection_status,format,story,metadata_arc,story_title,part_label,metadata_role,metadata_notes,metadata_source_url,metadata_status,metadata_source,reading_order,source_tab,source_row,comic,notes,missing_reason
Detective Comics,detective_568_741,731,absent_from_sheet,,,,Batman: No Man's Land,,Volume 1,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,732,absent_from_sheet,,,,Batman: No Man's Land,,Volume 1,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,733,absent_from_sheet,,,,Batman: No Man's Land,,Volume 1,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,734,absent_from_sheet,,,,Batman: No Man's Land,,Volume 2,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,735,absent_from_sheet,,,,Batman: No Man's Land,,Volume 2,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,736,absent_from_sheet,,,,Batman: No Man's Land,,Volume 3,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,737,absent_from_sheet,,,,Batman: No Man's Land,,Volume 3,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,738,absent_from_sheet,,,,Batman: No Man's Land,,Volume 3,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,739,absent_from_sheet,,,,Batman: No Man's Land,,Volume 4,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,740,absent_from_sheet,,,,Batman: No Man's Land,,Volume 4,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,741,absent_from_sheet,,,,Batman: No Man's Land,,Volume 4,core,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,42,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,50,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Warhammer Monthly,warhammer_monthly_0_86,51,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
